
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
1, "Recommendation : Raise DEFCON", "Recommendation : Raise DEFCON to %s", "Based on the many threats to our Region, I would strongly urge you to increase our Defense Condition (DEFCON) to Level %s so that we are better prepared to meet any enemy.", "", "", "Agree to raise DEFCON ¶(adds to military costs)", "Deny. Higher DEFCON Levels ¶add considerably to expenses", "Postpone decision", ""
10, "Military Goods Shortage", "Warning : Military Goods Shortage", "We are currently experiencing a shortage of Military Goods.  This can cause Unit Production to be delayed and affect Unit Re-supply and Maintenance.", "", "", "Acknowledge", "", "", ""
100, "World Market Vote Results", "Military Aid for %s against %s Approved!", "%s's request for Military Aid against %s has been Approved.", "", "", "Acknowledge", "", "", ""
1000, "City Liberated", "%s %s of %s Liberated by %s", "Breaking News Report - %s %s of %s has been liberated by %s.", "", "", "Acknowledge", "", "", ""
101, "Monthly GDP/c Report", "", "The current GDP/c is %s (this represents a %s trend).  Based on current economic data we expect the GDP/c to level off at %s.", "", "", "Acknowledge", "", "", ""
1012, "Border Cities Undefended", "Warning - Border Cities Undefended", "Please be aware that many of our border cities do not have any forces assigned.  We should commission new garrison units at in border cities and complexes.", "", "", "Agree.  Create Garrison Units", "Disagree.  Do not form Garrisons", "Postpone Decision", ""
1013, "Ocean Cities Undefended", "Warning - Oceanfront Cities Undefended", "Please be aware that many of our coastal cities do not have any forces assigned.  We should commission new garrison units at in coastal cities and complexes.", "", "", "Agree.  Create Garrison Units", "Disagree.  Do not form Garrisons", "Postpone Decision", ""
1015, "Capital City Undefended", "Warning - Capital Undefended", "Please be aware that we have not assigned any regular army units to our capital city, nor have we commissioned any garrison units there.  We should immediately commission a garrison force.", "", "", "Agree.  Create Garrison Units", "Disagree.  Do not form Garrisons", "Postpone Decision", ""
1019, "Financial Aid to Ally", "%s Requires Financial Aid", "Our Ally (%s) is experiencing financial trouble and we are in a position to help.  Shall we offer assistance?", "", "", "Acknowledged.  Hold off on helping them.", "Offer them 1/10th of our treasury - as a loan.", "Give them some of our Treasury.", ""
102, "Domestic Approval Report", "", "The current Domestic Approval Rating is %s.  It is currently on a %s trend.", "", "", "Acknowledge", "", "", ""
1020, "Border Force Ratio Superiority", "Superior Force Ratio to %s", "Please be aware that our military forces significantly outnumber those of %s on our shared border.", "", "", "Acknowledge", "", "", ""
1021, "Border Force Ration Deficit", "Inferior Force Ratio to %s", "Please be aware that the military forces of %s on our shared border significantly outnumber our forces.", "", "", "Acknowledge", "", "", ""
1022, "Humanitarian Aid Request", "World Market Fresh Water Aid Request for %s", "We have received a request from the World Market to provide Humanitarian Aid in the form of Fresh Water to %s.  Since we are not at war with them and have a product surplus, I would suggest that we comply.", "", "", "Agree.  Send Water", "Disagree.  Do not send Water", "Postpone Decision", ""
1023, "Humanitarian Aid Request", "World Market Agri Aid Request for %s", "We have received a request from the World Market to provide Humanitarian Aid in the form of Food (Agri) to %s.  Since we are not at war with them and have a product surplus, I would suggest that we comply.", "", "", "Agree.  Send Food", "Disagree.  Do not send Food", "Postpone Decision", ""
1024, "Economic Aid Request", "World Market Requests Economic Aid for %s", "We have received a request from the World Market to provide Economic Aid (Money) to %s.  Based on our Treasury balance, the amount they have requested from us is %s (5%).  ", "", "", "Agree.  Send Money", "Disagree.  Do not send Money", "Postpone Decision", ""
103, "Casualties Mount!", "%s Casualty Figures : %s", "%s has released a new casualty list.  %s soldiers have been killed or wounded in recent fighting. ", "", "", "Acknowledge", "", "", ""
104, "Civilian Casualties Grow!", "%s Civilian Casualties : %s", "New Civilian Casualty figures have been released by %s.  They are reporting that over %s civilians have been killed or wounded in recent attacks.", "", "", "Acknowledge", "", "", ""
105, "Territorial Losses!", "%s Territorial Losses : %s km sq", "%s has suffered territorial losses amounting to %s square kilometers.", "", "", "Acknowledge", "", "", ""
106, "World Market Trade Boycott", "World Market Boycotts %s Trade with Us", "Due to growing dissatisfaction in our leadership, the World Market has today instituted a boycott of all %s trade with our region.  We need to improve our World Market Rating for this to be rescinded.", "", "", "Acknowledge", "", "", ""
107, "World Market Boycott Lifted", "World Market Lifts Boycott of %s with Us", "Due to improving relations, the World Market today sent us word that they are lifting the boycott in %s trade against us.", "", "", "Acknowledge", "", "", ""
108, "World Market Military Advisors", "", "The World Market has today provided us with additional Military Advisors.  This show of support should improve both the Morale and Efficiency of our units.", "", "", "Acknowledge", "", "", ""
109, "World Market Default", "", "We were unable to make a scheduled payment to the World Market in the amount of %s.  They have created a new schedule to repay the outstanding amount (%s / day for the next year).  This default has also caused them to Lower our Credit Rating.", "", "", "Acknowledge", "", "", ""
11, "Strategic Nuclear Attack", "%s Uses Strategic Nuclear Weapon on %s (at %s)", "%s has today used a High Yield Strategic Nuclear Weapon against %s at %s.", "", "", "Acknowledge", "Condemn Attack", "Support Attack", ""
110, "Product Shortage Reported", "%s short on %s", "International News has learned that %s is unable to meet their domestic demand for %s.", "Sources have reported that %s is not able to fill the local demand for %s.", "", "Acknowledge", "", "", ""
1100, "Paraguay Fascist Regime", "Paraguay first Fascist Regime in Americas", "Paraguay, under Rafael Franco, has formed the first Fascist Regime in the Americas underlining the growing popularity of this political philosophy.", "", "", "", "", "", ""
1101, "UK Denies Aid to France", "UK Denies Aid to France", "Despite growing fears of German Militarization with their reoccupation of the Rhineland, British Foreign Secretary Anthony Eden today turned down French requests for military aid.", "", "", "", "", "", ""
