


// OUTPUT - 5
// 18837 Rows
&&NEWSITEMSTEXT, 0
1, "Sugerencia: subir la DEFCON", "Sugerencia: subir la DEFCON a %s.", "Basándonos en las diversas amenazas a nuestra zona, recomiendo firmemente la subida de la condición de defensa (DEFCON) a %s, a fin de estar mejor preparados en caso de ataque enemigo.", "", "", "Afirmativo. Suban la DEFCON.¶(Se suma al coste militar)", "Negativo. Incrementar el nivel¶aumenta mucho el coste.", "Pospongo la decisión.", ""
10, "Escasez de productos militares", "Aviso: escasez de productos militares.", "En estos momentos estamos experimentando una escasez de productos militares. Esto puede causar retrasos en la producción de unidades y afectar al reabastecimiento y mantenimiento de las mismas.", "", "", "Recibido.", "", "", ""
100, "Resultado de la votación de las Naciones Unidas", "Se ha aprobado la ayuda militar a %s contra %s.", "Se ha aprobado la petición de ayuda militar a %s contra %s.", "", "", "Recibido", "", "", ""
1000, "Ciudad liberada", " %s (%s) de %s ha sido liberada por %s.", "Última hora: %s (%s) de %s ha sido liberada por %s.", "", "", "Recibido.", "", "", ""
101, "Informe del PIB/c mensual", "", "El PIB per cápita mensual en este momento es de %s (esto representa una tendencia %s ). Según los datos económicos actuales, esperamos que se nivele a %s.", "", "", "Recibido.", "", "", ""
1012, "Ciudades fronterizas indefensas", "Aviso: ciudades fronterizas indefensas.", "Por favor, observe que muchas ciudades fronterizas no tienen tropas asignadas. Tendríamos que enviar nuevas guarniciones a las ciudades y complejos fronterizos.", "", "", "Afirmativo.¶Creen guarniciones.", "Negativo.¶No creen guarniciones.", "Pospongo la decisión.", ""
1013, "Ciudades costeras indefensas", "Aviso: ciudades costeras indefensas.", "Por favor, observe que muchas ciudades costeras no tienen tropas asignadas. Tendríamos que enviar nuevas guarniciones a las ciudades y complejos costeros.", "", "", "Afirmativo.¶Creen guarniciones.", "Negativo.¶No creen guarniciones.", "Pospongo la decisión.", ""
1015, "Capital indefensa", "Aviso: capital indefensa.", "Por favor, observe que no hay asignada ninguna unidad del ejército regular a la capital y que no hemos encargado ninguna unidad de guarnición. Debemos encargar de inmediato una fuerza de guarnición.", "", "", "Afirmativo.¶Creen guarniciones.", "Negativo.¶No creen guarniciones.", "Pospongo la decisión.", ""
1019, "Ayuda financiera a un aliado", "%s solicita ayuda financiera.", "%s, nuestra aliada, está teniendo problemas financieros, y podemos echarle un mano. ¿Debemos ofrecerle nuestra ayuda?", "", "", "Recibido.¶Absténganse de ayudarles.", "Ofrézcanles la décima parte¶de la tesorería como préstamo.", "Denles parte de la tesorería.", ""
102, "Informe de aprobación popular", "", "El índice de aprobación popular actual es %s. Actualmente sigue una tendencia %s.", "", "", "Recibido.", "", "", ""
1020, "Fuerza fronteriza superior", "Fuerza superior a %s ", "Ten en cuenta que nuestras fuerzas aventajan claramente a las de %s en nuestra frontera común.", "", "", "Recibido", "", "", ""
1021, "Fuerza fronteriza inferior", "Fuerza inferior a %s ", "Ten en cuenta que las fuerzas de %s en nuestra frontera común aventajan claramente a las nuestras.", "", "", "Recibido", "", "", ""
1022, "Petición ayuda humanitaria: agua", "Petición de la ONU de agua para %s ", "Hemos recibido una petición de las Naciones Unidas para proporcionar ayuda humanitaria suministrando agua a %s. Dado que no estamos en guerra con ellos y tenemos un excedente, sugiero que accedamos.", "", "", "Acepta.  Envía agua", "Rechaza.  No envíes agua", "Pospón decisión", ""
1023, "Petición ayuda humanitaria: agri", "Petición de la ONU de comida para %s ", "Hemos recibido una petición de las Naciones Unidas para proporcionar ayuda humanitaria suministrando comida (agri) a %s. Dado que no estamos en guerra con ellos y tenemos un excedente, sugiero que accedamos.", "", "", "Acepta.  Envía comida", "Rechaza.  No envíes comida", "Pospón decisión", ""
1024, "Petición de ayuda económica", "La ONU pide ayuda económica para %s ", "Hemos recibido una petición de las Naciones Unidas para ayudar económicamente (dinero) a %s. Basándose en el estado de nuestro Tesoro, la cantidad que nos piden es %s (5%%).", "", "", "Acepta.  Envía dinero", "Rechaza.  No envíes dinero", "Pospón decisión", ""
103, "Recuento de bajas", "Cifra de bajas de %s : %s ", " %s ha publicado una nueva lista de bajas. %s soldados han muerto o han resultado heridos en escaramuzas recientes.", "", "", "Recibido", "", "", ""
104, "Aumentan las bajas civiles", "Bajas civiles de %s : %s ", " %s ha publicado una nueva lista de bajas civiles. Informan de que unos %s civiles han muerto o han resultado heridos en los recientes ataques.", "", "", "Recibido", "", "", ""
105, "Pérdidas territoriales", "Territorio perdido por %s : %s km cuadrados.", " %s ha perdido territorio por un total de %s kilómetros cuadrados.", "", "", "Recibido", "", "", ""
106, "Iniciado boicot comercial de las Naciones Unidas", "La ONU boicotea el comercio de %s con nosotros.", "Debido a la creciente desaprobación hacia nuestro régimen, las Naciones Unidas han decretado el boicot de todo el comercio de %s con nuestra zona. Debemos mejorar nuestra imagen ante la ONU para que lo revoquen.", "", "", "Recibido.", "", "", ""
107, "Las Naciones Unidas cesan el boicot", "La ONU cesa el boicot de %s que nos impuso.", "Debido a la mejora en las relaciones, las Naciones Unidas nos han comunicado que cesan en su boicot al comercio de %s con nosotros.", "", "", "Recibido.", "", "", ""
108, "La ONU proporciona asesores militares", "", "Hoy, las Naciones Unidas nos han proporcionado más asesores militares. Esta muestra de apoyo debería de aumentar la moral y la efectividad de nuestras unidades.", "", "", "Recibido.", "", "", ""
109, "Retraso en el pago a Naciones Unidas", "", "No hemos podido completar un pago previsto a las Naciones Unidas por valor de %s. Nos han organizado un programa para abonar la cantidad pendiente ( %s al día durante el año próximo). Este retraso ha hecho que nos reduzcan el índice de crédito.", "", "", "Recibido.", "", "", ""
11, "Ataque atómico estratégico", " %s utiliza arma atómica estratég. contra %s (%s).", "Hoy, %s ha utilizado un artefacto nuclear de gran potencia contra %s, en %s.", "", "", "Recibido", "Condena acción", "Apoyar acción", ""
110, "Informe de escasez de productos", "Escasez en %s de %s.", "Las noticias de las Naciones Unidas nos informan de que %s no consigue satisfacer su demanda interna de %s.", "Las fuentes han informado de que %s no es capaz de llenar la demanda local de %s.", "", "Recibido", "", "", ""
1100, "Paraguay fascista Régimen", "Paraguay primera Régimen fascista en América", "Paraguay, bajo Rafael Franco, ha formado la primera régimen fascista en las Américas que subraya la creciente popularidad de esta filosofía política.", "", "", "", "", "", ""
1101, "Reino Unido niega la ayuda a Francia", "Reino Unido niega la ayuda a Francia", "A pesar de los crecientes temores de militarización alemana con su reocupación de Renania, el secretario de Relaciones Exteriores británico, Anthony Eden volvió hoy las peticiones francesas para la ayuda militar.", "", "", "", "", "", ""
